ID,Provider,Processor,Resources,vCPU,RAM,Disk,Bandwidth TB,Speed Gbit,Currency,Price (0% curr),EUR (0%),EUR (25%),Ratio 2:1,Ratio 1:1,Ratio 1:2,Ratio 1:3,Avg,Provider Avg,Comments,Locations
156,Infomaniak,x86,Shared,24,96,20,,,EUR,91.52,91.52,114.4,0.635555556,0.762666667,0.423703704,0.293333333,0.528814815,0.722208282,,
157,Infomaniak,x86,Shared,32,64,50,,,EUR,92.51,92.51,115.6375,0.722734375,0.963645833,0.5781875,0.412991071,0.669389695,0.722208282,,
158,Infomaniak,x86,Shared,24,96,50,,,EUR,96.21,96.21,120.2625,0.668125,0.80175,0.445416667,0.308365385,0.555914263,0.722208282,,
159,Infomaniak,x86,Shared,32,64,80,,,EUR,97.21,97.21,121.5125,0.759453125,1.012604167,0.6075625,0.433973214,0.703398251,0.722208282,,
160,Infomaniak,x86,Shared,24,96,80,,,EUR,100.9,100.9,126.125,0.700694444,0.840833333,0.46712963,0.323397436,0.583013711,0.722208282,,
161,Infomaniak,x86,Shared,32,128,20,,,EUR,120.98,120.98,151.225,0.630104167,0.756125,0.420069444,0.290817308,0.52427898,0.722208282,,
162,Infomaniak,x86,Shared,32,128,50,,,EUR,125.67,125.67,157.0875,0.65453125,0.7854375,0.436354167,0.302091346,0.544603566,0.722208282,,
163,Infomaniak,x86,Shared,48,96,20,,,EUR,130.17,130.17,162.7125,0.67796875,0.903958333,0.542375,0.387410714,0.627928199,0.722208282,,
164,Infomaniak,x86,Shared,32,128,80,,,EUR,130,130,162.5,0.677083333,0.8125,0.451388889,0.3125,0.563368056,0.722208282,,
165,Infomaniak,x86,Shared,48,96,50,,,EUR,134.86,134.86,168.575,0.702395833,0.936527778,0.561916667,0.401369048,0.650552331,0.722208282,,
166,Infomaniak,x86,Shared,48,96,80,,,EUR,139.55,139.55,174.4375,0.726822917,0.969097222,0.581458333,0.415327381,0.673176463,0.722208282,,
167,Infomaniak,x86,Shared,64,128,20,,,EUR,172,172,215,0.671875,0.895833333,0.5375,0.383928571,0.622284226,0.722208282,,
168,Infomaniak,x86,Shared,64,128,50,,,EUR,177.21,177.21,221.5125,0.692226563,0.92296875,0.55378125,0.395558036,0.64113365,0.722208282,,
169,Infomaniak,x86,Shared,48,192,20,,,EUR,179.91,179.91,224.8875,0.6246875,0.749625,0.416458333,0.288317308,0.519772035,0.722208282,,
170,Infomaniak,x86,Shared,64,128,80,,,EUR,181.89,181.89,227.3625,0.710507813,0.94734375,0.56840625,0.406004464,0.658065569,0.722208282,,
171,Infomaniak,x86,Shared,48,192,50,,,EUR,184.6,184.6,230.75,0.640972222,0.769166667,0.427314815,0.295833333,0.533321759,0.722208282,,
172,Infomaniak,x86,Shared,48,192,80,,,EUR,189.29,189.29,236.6125,0.657256944,0.788708333,0.438171296,0.303349359,0.546871483,0.722208282,,
173,Infomaniak,x86,Shared,64,256,20,,,EUR,238.83,238.83,298.5375,0.621953125,0.74634375,0.414635417,0.287055288,0.517496895,0.722208282,,
174,Infomaniak,x86,Shared,64,256,50,,,EUR,243.52,243.52,304.4,0.634166667,0.761,0.422777778,0.292692308,0.527659188,0.722208282,,
